Fach 1;Lfd. Nr.;Fach 1;Fach 2;Datum / Uhrzeit;Kollisionen;Abstand
;9;BB-192-17130-Detailbereiche im Stahlbetonbau;BB-192-601926030-Stahlbetonbau II;27 14:00-16:00;5;190
;10;BB-192-17130-Detailbereiche im Stahlbetonbau;BB-192-601926040-Baubetriebswirtschaft I;27 11:30-12:30;2;193
;11;BB-192-17130-Detailbereiche im Stahlbetonbau;BB-192-601926040-Stahlbau II;28 14:00-16:30;6;165
;12;BB-192-17130-Detailbereiche im Stahlbetonbau;BB-192-601926050-Baubetriebsführung;07 11:30-12:30;2;068
;13;BB-192-17130-Detailbereiche im Stahlbetonbau;BB-192-601927010-Geotechnik IV;06 11:30-13:00;4;044
;14;BB-192-17130-Detailbereiche im Stahlbetonbau;BB-192-601927020-Ingenieurholzbau II;31 14:00-16:00;6;094
;15;BB-192-17130-Detailbereiche im Stahlbetonbau;BB-192-601927030-Spannbetonbau;04 11:30-12:30;4;001
;16;BB-192-17130-Detailbereiche im Stahlbetonbau;BB-192-601927050-Wahlpflichtfach Baumanagement;Kein Datum gef;2;
;17;BB-192-17130-Detailbereiche im Stahlbetonbau;BB-192-601927050-Wahlpflichtfach Konstruktiver Ingenieurbau;Kein Datum gef;7;
BB-192-17170-Abfallwirtschaft/-technik;;;;29 17:00-17:45;;;
;1;BB-192-17170-Abfallwirtschaft/-technik;BB-192-17210-Innovative Bauverfahren im Straßenbau;25 14:00-15:00;2;098
;2;BB-192-17170-Abfallwirtschaft/-technik;BB-192-17270-Nachhaltigkeitsmanagement;29 11:00-12:00;4;005
;3;BB-192-17170-Abfallwirtschaft/-technik;BB-192-601923010-Baustatik I;25 11:00-13:00;1;100
;4;BB-192-17170-Abfallwirtschaft/-technik;BB-192-601923060-Bauproduktionstechnik;30 14:00-15:30;1;020
;5;BB-192-17170-Abfallwirtschaft/-technik;BB-192-601926020-Planung und Konstruktion I;30 11:00-13:00;1;017
;6;BB-192-17170-Abfallwirtschaft/-technik;BB-192-601926030-Projektbasierte Produktion;04 11:00-13:00;1;137
;7;BB-192-17170-Abfallwirtschaft/-technik;BB-192-601926040-Baubetriebswirtschaft I;27 11:30-12:30;5;052
;8;BB-192-17170-Abfallwirtschaft/-technik;BB-192-601926050-Baubetriebsführung;07 11:30-12:30;1;209
;9;BB-192-17170-Abfallwirtschaft/-technik;BB-192-601927020-Baubetriebswirtschaft;05 8:30-10:30;8;158
;10;BB-192-17170-Abfallwirtschaft/-technik;BB-192-601927030-Lean Construction;28 17:30-18:30;8;022
;11;BB-192-17170-Abfallwirtschaft/-technik;BB-192-601927050-Wahlpflichtfach Baumanagement;Kein Datum gef;7;
BB-192-17210-Innovative Bauverfahren im Straßenbau;;;;25 14:00-15:00;;;
;1;BB-192-17210-Innovative Bauverfahren im Straßenbau;BB-192-17170-Abfallwirtschaft/-technik;29 17:00-17:45;2;098
;2;BB-192-17210-Innovative Bauverfahren im Straßenbau;BB-192-17270-Nachhaltigkeitsmanagement;29 11:00-12:00;2;092
;3;BB-192-17210-Innovative Bauverfahren im Straßenbau;BB-192-17280-Betontechnologie;05 14:00-15:00;1;263
;4;BB-192-17210-Innovative Bauverfahren im Straßenbau;BB-192-601923010-Baustatik I;25 11:00-13:00;1;001
